TFB History
Declared district(s),Revoked district(s),Declared date and time
the whole State of Victoria,,25/02/1991 00:00 to 26/02/1991 00:00
the whole State of Victoria,,03/02/1991 00:00 to 04/02/1991 00:00
the whole State of Victoria,,30/01/1991 00:00 to 31/01/1991 00:00
the whole State of Victoria,,11/01/1991 07:00 to 12/01/1991 07:00
the whole State of Victoria,,02/01/1991 00:00 to 03/01/1991 00:00
North Western,,22/12/1990 00:00 to 23/12/1990 00:00
North Western,,17/12/1990 00:01 to 18/12/1990 00:01
North Western,,05/12/1990 00:01 to 06/12/1990 00:01
North Western,,01/12/1990 00:01 to 02/12/1990 00:01
North Western,,21/11/1990 00:01 to 22/11/1990 00:01
the whole State of Victoria,,27/03/1990 00:00 to 28/03/1990 00:00
the whole State of Victoria,,30/01/1990 00:00 to 31/01/1990 00:00
the whole State of Victoria,,23/01/1990 00:00 to 24/01/1990 00:00
the whole State of Victoria,,03/01/1990 00:00 to 04/01/1990 00:00
North Western and South Western,,24/02/1989 00:00 to 25/02/1989 00:00
North Western and South Western,,18/02/1989 00:00 to 19/02/1989 00:00
North Western and South Western,,28/01/1989 00:00 to 29/01/1989 00:00
the whole State of Victoria,,03/03/1988 00:00 to 04/03/1988 00:00
North Eastern,,30/01/1988 00:00 to 31/01/1988 00:00
North Western and South Western,,29/01/1988 00:00 to 30/01/1988 00:00
North Western and North Eastern,,20/01/1988 07:00 to 21/01/1988 07:00
the whole State of Victoria,,15/01/1988 00:00 to 16/01/1988 00:00
North Western,,13/01/1988 07:00 to 14/01/1988 07:00
North Eastern,,13/01/1988 00:00 to 14/01/1988 00:00
the whole State of Victoria,,12/01/1988 00:00 to 13/01/1988 00:00
North Western and South Western,,09/01/1988 07:00 to 10/01/1988 07:00
the whole State of Victoria,,31/12/1987 00:01 to 01/01/1988 00:01
North Western and South Western,,18/03/1987 00:00 to 19/03/1987 00:00
North Western and South Western,,17/03/1987 07:00 to 18/03/1987 07:00
the whole State of Victoria,,14/02/1987 00:00 to 15/02/1987 00:00
the whole State of Victoria,,07/02/1987 00:00 to 08/02/1987 00:00
the whole State of Victoria,,02/02/1987 00:00 to 03/02/1987 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,31/01/1987 00:00 to 01/02/1987 00:00
North Western,,24/01/1987 00:00 to 25/01/1987 00:00
"North Eastern, South Western and Central (includes Melbourne and Geelong)",,16/01/1987 09:00 to 17/01/1987 09:00
North Western,,16/01/1987 07:00 to 17/01/1987 07:00
the whole State of Victoria,,04/04/1986 00:00 to 05/04/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,20/03/1986 07:00 to 21/03/1986 07:00
the whole State of Victoria,,07/03/1986 00:00 to 08/03/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,06/03/1986 00:00 to 07/03/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,17/02/1986 00:00 to 18/02/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,14/02/1986 00:00 to 15/02/1986 00:00
the whole State of Victoria,,13/02/1986 00:00 to 14/02/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,08/02/1986 00:00 to 09/02/1986 00:00
North Eastern,,30/01/1986 00:00 to 31/01/1986 00:00
"North Western, North Eastern, South Western and Central (includes Melbourne and Geelong)",,29/01/1986 00:00 to 30/01/1986 00:00
the whole State of Victoria,,15/01/1986 00:00 to 16/01/1986 00:00
the whole State of Victoria,,14/03/1985 17:00 to 15/03/1985 17:00
the whole State of Victoria,,22/02/1985 00:00 to 23/02/1985 00:00
the whole State of Victoria,,30/01/1985 00:00 to 31/01/1985 00:00
the whole State of Victoria,,27/01/1985 00:00 to 28/01/1985 00:00
the whole State of Victoria,,26/01/1985 00:00 to 27/01/1985 00:00
the whole State of Victoria,,15/01/1985 00:00 to 16/01/1985 00:00
the whole State of Victoria,,14/01/1985 00:00 to 15/01/1985 00:00
the whole State of Victoria,,23/02/1984 07:00 to 24/02/1984 07:00
the whole State of Victoria,,12/02/1984 00:00 to 13/02/1984 00:00
the whole State of Victoria,,24/01/1984 00:00 to 25/01/1984 00:00
the whole State of Victoria,,12/03/1983 00:01 to 13/03/1983 00:01
the whole State of Victoria,,11/03/1983 07:00 to 12/03/1983 07:00
the whole State of Victoria,,04/03/1983 07:00 to 05/03/1983 07:00
the whole State of Victoria,,02/03/1983 00:01 to 03/03/1983 00:01
the whole State of Victoria,,26/02/1983 00:01 to 27/02/1983 00:01
the whole State of Victoria,,25/02/1983 00:01 to 26/02/1983 00:01
the whole State of Victoria,,22/02/1983 00:01 to 23/02/1983 00:01
the whole State of Victoria,,17/02/1983 00:01 to 18/02/1983 00:01
the whole State of Victoria,,16/02/1983 07:00 to 17/02/1983 07:00
the whole State of Victoria,,15/02/1983 00:01 to 16/02/1983 00:01
the whole State of Victoria,,10/02/1983 07:00 to 11/02/1983 07:00
the whole State of Victoria,,08/02/1983 00:01 to 09/02/1983 00:01
the whole State of Victoria,,07/02/1983 00:01 to 08/02/1983 00:01
the whole State of Victoria,,01/02/1983 00:01 to 02/02/1983 00:01
the whole State of Victoria,,31/01/1983 00:01 to 01/02/1983 00:01
the whole State of Victoria,,26/01/1983 00:01 to 27/01/1983 00:01
the whole State of Victoria,,09/01/1983 00:01 to 10/01/1983 00:01
the whole State of Victoria,,08/01/1983 00:01 to 09/01/1983 00:01
the whole State of Victoria,,30/11/1982 07:00 to 01/12/1982 07:00
the whole State of Victoria,,29/11/1982 00:01 to 30/11/1982 00:01
the whole State of Victoria,,25/11/1982 00:01 to 26/11/1982 00:01
the whole State of Victoria,,24/11/1982 07:00 to 25/11/1982 07:00
the whole State of Victoria,,22/03/1982 00:00 to 23/03/1982 00:00
the whole State of Victoria,,20/02/1982 00:00 to 21/02/1982 00:00
the whole State of Victoria,,16/02/1982 00:00 to 17/02/1982 00:00
the whole State of Victoria,,15/02/1982 00:00 to 16/02/1982 00:00
the whole State of Victoria,,14/02/1982 00:00 to 15/02/1982 00:00
the whole State of Victoria,,08/02/1982 00:00 to 09/02/1982 00:00
the whole State of Victoria,,07/02/1982 00:00 to 08/02/1982 00:00
the whole State of Victoria,,24/01/1982 00:00 to 25/01/1982 00:00
the whole State of Victoria,,23/01/1982 00:00 to 24/01/1982 00:00
the whole State of Victoria,,20/01/1982 00:00 to 21/01/1982 00:00
the whole State of Victoria,,19/01/1982 00:00 to 20/01/1982 00:00
the whole State of Victoria,,17/01/1982 00:00 to 18/01/1982 00:00
the whole State of Victoria,,12/01/1982 00:00 to 13/01/1982 00:00
the whole State of Victoria,,11/01/1982 00:00 to 12/01/1982 00:00
the whole State of Victoria,,09/10/1981 00:00 to 10/10/1981 00:00
the whole State of Victoria,,13/02/1981 00:00 to 14/02/1981 00:00
the whole State of Victoria,,03/02/1981 00:00 to 04/02/1981 00:00
the whole State of Victoria,,26/01/1981 00:00 to 27/01/1981 00:00
the whole State of Victoria,,15/01/1981 00:00 to 16/01/1981 00:00
the whole State of Victoria,,14/01/1981 00:00 to 15/01/1981 00:00
the whole State of Victoria,,03/01/1981 00:00 to 04/01/1981 00:00
the whole State of Victoria,,22/12/1980 00:00 to 23/12/1980 00:00
the whole State of Victoria,,21/12/1980 00:00 to 22/12/1980 00:00
the whole State of Victoria,,11/12/1980 00:00 to 12/12/1980 00:00
the whole State of Victoria,,10/12/1980 00:00 to 11/12/1980 00:00
the whole State of Victoria,,21/03/1980 00:00 to 22/03/1980 00:00
the whole State of Victoria,,20/03/1980 00:00 to 21/03/1980 00:00
the whole State of Victoria,,27/02/1980 00:00 to 28/02/1980 00:00
the whole State of Victoria,,21/02/1980 00:00 to 22/02/1980 00:00
the whole State of Victoria,,20/02/1980 00:00 to 21/02/1980 00:00
the whole State of Victoria,,19/02/1980 00:00 to 20/02/1980 00:00
the whole State of Victoria,,14/02/1980 00:00 to 15/02/1980 00:00
the whole State of Victoria,,12/02/1980 00:00 to 13/02/1980 00:00
the whole State of Victoria,,11/02/1980 00:00 to 12/02/1980 00:00
the whole State of Victoria,,01/02/1980 00:00 to 02/02/1980 00:00
the whole State of Victoria,,28/12/1979 00:00 to 29/12/1979 00:00
the whole State of Victoria,,27/12/1979 00:00 to 28/12/1979 00:00
the whole State of Victoria,,10/02/1979 00:00 to 11/02/1979 00:00
the whole State of Victoria,,02/02/1979 00:00 to 03/02/1979 00:00
the whole State of Victoria,,01/02/1979 00:00 to 02/02/1979 00:00
the whole State of Victoria,,29/01/1979 00:00 to 30/01/1979 00:00
the whole State of Victoria,,25/01/1979 00:00 to 26/01/1979 00:00
the whole State of Victoria,,16/01/1979 00:00 to 17/01/1979 00:00
the whole State of Victoria,,11/03/1978 00:00 to 12/03/1978 00:00
the whole State of Victoria,,21/01/1978 00:00 to 22/01/1978 00:00
the whole State of Victoria,,14/01/1978 00:00 to 15/01/1978 00:00
the whole State of Victoria,,01/01/1978 00:00 to 02/01/1978 00:00
the whole State of Victoria,,13/12/1977 00:00 to 14/12/1977 00:00
the whole State of Victoria,,26/11/1977 00:00 to 27/11/1977 00:00
the whole State of Victoria,,12/02/1977 00:00 to 13/02/1977 00:00
the whole State of Victoria,,11/02/1977 00:00 to 12/02/1977 00:00
the whole State of Victoria,,09/02/1977 00:00 to 10/02/1977 00:00
the whole State of Victoria,,04/02/1977 00:00 to 05/02/1977 00:00
the whole State of Victoria,,20/01/1977 00:00 to 21/01/1977 00:00
the whole State of Victoria,,15/01/1977 00:00 to 16/01/1977 00:00
the whole State of Victoria,,22/12/1976 00:00 to 23/12/1976 00:00
the whole State of Victoria,,18/02/1976 00:00 to 19/02/1976 00:00
the whole State of Victoria,,17/02/1976 00:00 to 18/02/1976 00:00
the whole State of Victoria,,14/02/1976 00:00 to 15/02/1976 00:00
the whole State of Victoria,,13/02/1976 00:00 to 14/02/1976 00:00
the whole State of Victoria,,01/02/1976 00:00 to 02/02/1976 00:00
the whole State of Victoria,,31/01/1976 00:00 to 01/02/1976 00:00
the whole State of Victoria,,19/01/1976 00:00 to 20/01/1976 00:00
the whole State of Victoria,,04/01/1976 00:00 to 05/01/1976 00:00
the whole State of Victoria,,02/03/1975 00:00 to 03/03/1975 00:00
the whole State of Victoria,,26/02/1975 00:00 to 27/02/1975 00:00
the whole State of Victoria,,19/02/1975 00:00 to 20/02/1975 00:00
the whole State of Victoria,,18/02/1975 00:00 to 19/02/1975 00:00
the whole State of Victoria,,08/02/1975 00:00 to 09/02/1975 00:00
the whole State of Victoria,,07/02/1975 00:00 to 08/02/1975 00:00
the whole State of Victoria,,06/02/1975 00:00 to 07/02/1975 00:00
the whole State of Victoria,,02/02/1975 00:00 to 03/02/1975 00:00
the whole State of Victoria,,01/02/1975 00:00 to 02/02/1975 00:00
the whole State of Victoria,,31/01/1975 00:00 to 01/02/1975 00:00
the whole State of Victoria,,30/01/1975 00:00 to 31/01/1975 00:00
the whole State of Victoria,,29/01/1975 00:00 to 30/01/1975 00:00
the whole State of Victoria,,28/01/1975 00:00 to 29/01/1975 00:00
the whole State of Victoria,,19/01/1975 00:00 to 20/01/1975 00:00
the whole State of Victoria,,15/01/1975 00:00 to 16/01/1975 00:00
the whole State of Victoria,,03/03/1974 00:00 to 04/03/1974 00:00
the whole State of Victoria,,16/02/1974 00:00 to 17/02/1974 00:00
the whole State of Victoria,,11/02/1974 00:00 to 12/02/1974 00:00
the whole State of Victoria,,01/02/1974 00:00 to 02/02/1974 00:00
the whole State of Victoria,,31/01/1974 00:00 to 01/02/1974 00:00
the whole State of Victoria,,04/01/1974 00:00 to 05/01/1974 00:00
the whole State of Victoria,,24/01/1973 00:00 to 25/01/1973 00:00
the whole State of Victoria,,21/01/1973 00:00 to 22/01/1973 00:00
the whole State of Victoria,,20/01/1973 00:00 to 21/01/1973 00:00
the whole State of Victoria,,19/01/1973 00:00 to 20/01/1973 00:00
the whole State of Victoria,,18/01/1973 00:00 to 19/01/1973 00:00
the whole State of Victoria,,13/01/1973 00:00 to 14/01/1973 00:00
the whole State of Victoria,,12/01/1973 00:00 to 13/01/1973 00:00
the whole State of Victoria,,03/01/1973 00:00 to 04/01/1973 00:00
the whole State of Victoria,,02/01/1973 00:00 to 03/01/1973 00:00
the whole State of Victoria,,29/12/1972 00:00 to 30/12/1972 00:00
the whole State of Victoria,,21/12/1972 00:00 to 22/12/1972 00:00
the whole State of Victoria,,20/12/1972 00:00 to 21/12/1972 00:00
the whole State of Victoria,,19/12/1972 00:00 to 20/12/1972 00:00
the whole State of Victoria,,15/12/1972 00:00 to 16/12/1972 00:00
the whole State of Victoria,,14/12/1972 00:00 to 15/12/1972 00:00
the whole State of Victoria,,02/12/1972 00:00 to 03/12/1972 00:00
the whole State of Victoria,,09/02/1972 00:00 to 10/02/1972 00:00
the whole State of Victoria,,02/02/1972 00:00 to 03/02/1972 00:00
the whole State of Victoria,,20/02/1971 00:00 to 21/02/1971 00:00
the whole State of Victoria,,16/02/1971 00:00 to 17/02/1971 00:00
the whole State of Victoria,,11/01/1971 00:00 to 12/01/1971 00:00
the whole State of Victoria,,08/01/1971 00:00 to 09/01/1971 00:00
the whole State of Victoria,,26/12/1970 00:00 to 27/12/1970 00:00
the whole State of Victoria,,03/03/1970 00:00 to 04/03/1970 00:00
the whole State of Victoria,,18/02/1970 00:00 to 19/02/1970 00:00
the whole State of Victoria,,09/02/1970 00:00 to 10/02/1970 00:00
the whole State of Victoria,,08/02/1970 00:00 to 09/02/1970 00:00
the whole State of Victoria,,06/02/1970 00:00 to 07/02/1970 00:00
the whole State of Victoria,,05/02/1970 00:00 to 06/02/1970 00:00
the whole State of Victoria,,04/02/1970 00:00 to 05/02/1970 00:00
the whole State of Victoria,,23/01/1970 00:00 to 24/01/1970 00:00
the whole State of Victoria,,09/01/1970 00:00 to 10/01/1970 00:00
the whole State of Victoria,,22/12/1969 00:00 to 23/12/1969 00:00
the whole State of Victoria,,20/02/1969 00:00 to 21/02/1969 00:00
the whole State of Victoria,,31/01/1969 00:00 to 01/02/1969 00:00
the whole State of Victoria,,25/01/1969 00:00 to 26/01/1969 00:00
the whole State of Victoria,,21/01/1969 00:00 to 22/01/1969 00:00
the whole State of Victoria,,20/01/1969 00:00 to 21/01/1969 00:00
the whole State of Victoria,,18/01/1969 00:00 to 19/01/1969 00:00
the whole State of Victoria,,17/01/1969 00:00 to 18/01/1969 00:00
the whole State of Victoria,,16/01/1969 00:00 to 17/01/1969 00:00
the whole State of Victoria,,12/01/1969 00:00 to 13/01/1969 00:00
the whole State of Victoria,,09/01/1969 00:00 to 10/01/1969 00:00
the whole State of Victoria,,08/01/1969 00:00 to 09/01/1969 00:00
the whole State of Victoria,,21/03/1968 00:00 to 22/03/1968 00:00
the whole State of Victoria,,19/03/1968 00:00 to 20/03/1968 00:00
the whole State of Victoria,,18/03/1968 00:00 to 19/03/1968 00:00
the whole State of Victoria,,17/03/1968 00:00 to 18/03/1968 00:00
the whole State of Victoria,,01/03/1968 00:00 to 02/03/1968 00:00
the whole State of Victoria,,24/02/1968 00:00 to 25/02/1968 00:00
the whole State of Victoria,,22/02/1968 00:00 to 23/02/1968 00:00
the whole State of Victoria,,21/02/1968 00:00 to 22/02/1968 00:00
the whole State of Victoria,,20/02/1968 00:00 to 21/02/1968 00:00
the whole State of Victoria,,19/02/1968 00:00 to 20/02/1968 00:00
the whole State of Victoria,,18/02/1968 00:00 to 19/02/1968 00:00
the whole State of Victoria,,17/02/1968 00:00 to 18/02/1968 00:00
the whole State of Victoria,,16/02/1968 00:00 to 17/02/1968 00:00
the whole State of Victoria,,15/02/1968 00:00 to 16/02/1968 00:00
the whole State of Victoria,,05/02/1968 00:00 to 06/02/1968 00:00
the whole State of Victoria,,01/02/1968 00:00 to 02/02/1968 00:00
the whole State of Victoria,,31/01/1968 00:00 to 01/02/1968 00:00
the whole State of Victoria,,30/01/1968 00:00 to 31/01/1968 00:00
the whole State of Victoria,,28/01/1968 00:00 to 29/01/1968 00:00
the whole State of Victoria,,27/01/1968 00:00 to 28/01/1968 00:00
the whole State of Victoria,,23/01/1968 00:00 to 24/01/1968 00:00
the whole State of Victoria,,19/01/1968 00:00 to 20/01/1968 00:00
the whole State of Victoria,,13/01/1968 00:00 to 14/01/1968 00:00
the whole State of Victoria,,09/01/1968 00:00 to 10/01/1968 00:00
the whole State of Victoria,,08/01/1968 00:00 to 09/01/1968 00:00
the whole State of Victoria,,17/03/1967 00:00 to 18/03/1967 00:00
the whole State of Victoria,,16/03/1967 00:00 to 17/03/1967 00:00
the whole State of Victoria,,23/02/1967 00:00 to 24/02/1967 00:00
the whole State of Victoria,,22/02/1967 00:00 to 23/02/1967 00:00
the whole State of Victoria,,21/02/1967 00:00 to 22/02/1967 00:00
the whole State of Victoria,,20/02/1967 00:00 to 21/02/1967 00:00
the whole State of Victoria,,07/02/1967 00:00 to 08/02/1967 00:00
the whole State of Victoria,,06/02/1967 00:00 to 07/02/1967 00:00
the whole State of Victoria,,04/02/1967 00:00 to 05/02/1967 00:00
the whole State of Victoria,,21/01/1967 00:00 to 22/01/1967 00:00
the whole State of Victoria,,05/01/1967 00:00 to 06/01/1967 00:00
the whole State of Victoria,,07/03/1966 00:00 to 08/03/1966 00:00
the whole State of Victoria,,06/03/1966 00:00 to 07/03/1966 00:00
the whole State of Victoria,,05/03/1966 00:00 to 06/03/1966 00:00
the whole State of Victoria,,09/02/1966 00:00 to 10/02/1966 00:00
the whole State of Victoria,,08/02/1966 00:00 to 09/02/1966 00:00
the whole State of Victoria,,29/01/1966 00:00 to 30/01/1966 00:00
the whole State of Victoria,,28/01/1966 00:00 to 29/01/1966 00:00
the whole State of Victoria,,27/01/1966 00:00 to 28/01/1966 00:00
the whole State of Victoria,,26/01/1966 00:00 to 27/01/1966 00:00
the whole State of Victoria,,15/01/1966 00:00 to 16/01/1966 00:00
the whole State of Victoria,,12/01/1966 00:00 to 13/01/1966 00:00
the whole State of Victoria,,16/03/1965 00:00 to 17/03/1965 00:00
the whole State of Victoria,,11/03/1965 00:00 to 12/03/1965 00:00
the whole State of Victoria,,08/03/1965 00:00 to 09/03/1965 00:00
the whole State of Victoria,,07/03/1965 00:00 to 08/03/1965 00:00
the whole State of Victoria,,06/03/1965 00:00 to 07/03/1965 00:00
the whole State of Victoria,,05/03/1965 00:00 to 06/03/1965 00:00
the whole State of Victoria,,04/03/1965 00:00 to 05/03/1965 00:00
the whole State of Victoria,,03/03/1965 00:00 to 04/03/1965 00:00
the whole State of Victoria,,02/03/1965 00:00 to 03/03/1965 00:00
the whole State of Victoria,,21/02/1965 00:00 to 22/02/1965 00:00
the whole State of Victoria,,18/02/1965 00:00 to 19/02/1965 00:00
the whole State of Victoria,,16/02/1965 00:00 to 17/02/1965 00:00
the whole State of Victoria,,15/02/1965 00:00 to 16/02/1965 00:00
the whole State of Victoria,,03/02/1965 00:00 to 04/02/1965 00:00
the whole State of Victoria,,02/02/1965 00:00 to 03/02/1965 00:00
the whole State of Victoria,,29/01/1965 00:00 to 30/01/1965 00:00
the whole State of Victoria,,28/01/1965 00:00 to 29/01/1965 00:00
the whole State of Victoria,,24/01/1965 00:00 to 25/01/1965 00:00
the whole State of Victoria,,18/01/1965 00:00 to 19/01/1965 00:00
the whole State of Victoria,,17/01/1965 00:00 to 18/01/1965 00:00
the whole State of Victoria,,16/01/1965 00:00 to 17/01/1965 00:00
the whole State of Victoria,,28/03/1964 00:00 to 29/03/1964 00:00
the whole State of Victoria,,22/03/1964 00:00 to 23/03/1964 00:00
the whole State of Victoria,,21/02/1964 00:00 to 22/02/1964 00:00
the whole State of Victoria,,31/01/1964 00:00 to 01/02/1964 00:00
the whole State of Victoria,,23/01/1964 00:00 to 24/01/1964 00:00
the whole State of Victoria,,17/01/1964 00:00 to 18/01/1964 00:00
the whole State of Victoria,,13/01/1964 00:00 to 14/01/1964 00:00
the whole State of Victoria,,06/01/1964 00:00 to 07/01/1964 00:00
the whole State of Victoria,,05/01/1964 00:00 to 06/01/1964 00:00
the whole State of Victoria,,28/12/1963 00:00 to 29/12/1963 00:00
the whole State of Victoria,,21/02/1963 00:00 to 22/02/1963 00:00
the whole State of Victoria,,22/01/1963 00:00 to 23/01/1963 00:00
the whole State of Victoria,,12/01/1963 00:00 to 13/01/1963 00:00
the whole State of Victoria,,11/01/1963 00:00 to 12/01/1963 00:00
the whole State of Victoria,,23/12/1962 00:00 to 24/12/1962 00:00
the whole State of Victoria,,01/12/1962 00:00 to 02/12/1962 00:00
the whole State of Victoria,,28/02/1962 00:00 to 01/03/1962 00:00
the whole State of Victoria,,19/02/1962 00:00 to 20/02/1962 00:00
the whole State of Victoria,,12/02/1962 00:00 to 13/02/1962 00:00
the whole State of Victoria,,08/02/1962 00:00 to 09/02/1962 00:00
the whole State of Victoria,,07/02/1962 00:00 to 08/02/1962 00:00
the whole State of Victoria,,30/01/1962 00:00 to 31/01/1962 00:00
the whole State of Victoria,,25/01/1962 00:00 to 26/01/1962 00:00
the whole State of Victoria,,24/01/1962 00:00 to 25/01/1962 00:00
the whole State of Victoria,,19/01/1962 00:00 to 20/01/1962 00:00
the whole State of Victoria,,17/01/1962 00:00 to 18/01/1962 00:00
the whole State of Victoria,,16/01/1962 00:00 to 17/01/1962 00:00
the whole State of Victoria,,15/01/1962 00:00 to 16/01/1962 00:00
the whole State of Victoria,,28/12/1961 00:00 to 29/12/1961 00:00
the whole State of Victoria,,27/12/1961 00:00 to 28/12/1961 00:00
the whole State of Victoria,,10/12/1961 00:00 to 11/12/1961 00:00
the whole State of Victoria,,19/03/1961 00:00 to 20/03/1961 00:00
the whole State of Victoria,,18/03/1961 00:00 to 19/03/1961 00:00
the whole State of Victoria,,17/03/1961 00:00 to 18/03/1961 00:00
the whole State of Victoria,,22/02/1961 00:00 to 23/02/1961 00:00
the whole State of Victoria,,20/02/1961 00:00 to 21/02/1961 00:00
the whole State of Victoria,,19/02/1961 00:00 to 20/02/1961 00:00
the whole State of Victoria,,17/02/1961 00:00 to 18/02/1961 00:00
the whole State of Victoria,,16/02/1961 00:00 to 17/02/1961 00:00
the whole State of Victoria,,08/02/1961 00:00 to 09/02/1961 00:00
the whole State of Victoria,,07/02/1961 00:00 to 08/02/1961 00:00
the whole State of Victoria,,29/01/1961 00:00 to 30/01/1961 00:00
the whole State of Victoria,,28/01/1961 00:00 to 29/01/1961 00:00
the whole State of Victoria,,27/01/1961 00:00 to 28/01/1961 00:00
the whole State of Victoria,,26/01/1961 00:00 to 27/01/1961 00:00
the whole State of Victoria,,09/01/1961 00:00 to 10/01/1961 00:00
the whole State of Victoria,,09/01/1961 00:00 to 10/01/1961 00:00
the whole State of Victoria,,08/01/1961 00:00 to 09/01/1961 00:00
the whole State of Victoria,,31/12/1960 00:00 to 01/01/1961 00:00
the whole State of Victoria,,30/12/1960 00:00 to 31/12/1960 00:00
the whole State of Victoria,,29/12/1960 00:00 to 30/12/1960 00:00
the whole State of Victoria,,28/12/1960 00:00 to 29/12/1960 00:00
the whole State of Victoria,,31/01/1960 00:00 to 01/02/1960 00:00
the whole State of Victoria,,26/01/1960 00:00 to 27/01/1960 00:00
the whole State of Victoria,,22/01/1960 00:00 to 23/01/1960 00:00
the whole State of Victoria,,17/01/1960 00:00 to 18/01/1960 00:00
the whole State of Victoria,,16/01/1960 00:00 to 17/01/1960 00:00
the whole State of Victoria,,11/01/1960 00:00 to 12/01/1960 00:00
the whole State of Victoria,,08/01/1960 00:00 to 09/01/1960 00:00
the whole State of Victoria,,07/01/1960 00:00 to 08/01/1960 00:00
the whole State of Victoria,,13/02/1959 00:00 to 14/02/1959 00:00
the whole State of Victoria,,02/02/1959 00:00 to 03/02/1959 00:00
the whole State of Victoria,,01/02/1959 00:00 to 02/02/1959 00:00
the whole State of Victoria,,31/01/1959 00:00 to 01/02/1959 00:00
the whole State of Victoria,,25/01/1959 00:00 to 26/01/1959 00:00
the whole State of Victoria,,24/01/1959 00:00 to 25/01/1959 00:00
the whole State of Victoria,,20/01/1959 00:00 to 21/01/1959 00:00
the whole State of Victoria,,19/01/1959 00:00 to 20/01/1959 00:00
the whole State of Victoria,,18/01/1959 00:00 to 19/01/1959 00:00
the whole State of Victoria,,16/01/1959 00:00 to 17/01/1959 00:00
the whole State of Victoria,,26/02/1958 00:00 to 27/02/1958 00:00
the whole State of Victoria,,10/02/1958 00:00 to 11/02/1958 00:00
the whole State of Victoria,,18/01/1958 00:00 to 19/01/1958 00:00
the whole State of Victoria,,14/01/1958 00:00 to 15/01/1958 00:00
the whole State of Victoria,,09/01/1958 00:00 to 10/01/1958 00:00
the whole State of Victoria,,28/12/1957 00:00 to 29/12/1957 00:00
the whole State of Victoria,,28/02/1957 00:00 to 01/03/1957 00:00
the whole State of Victoria,,27/02/1957 00:00 to 28/02/1957 00:00
the whole State of Victoria,,14/02/1957 00:00 to 15/02/1957 00:00
the whole State of Victoria,,05/02/1957 00:00 to 06/02/1957 00:00
the whole State of Victoria,,31/01/1957 00:00 to 01/02/1957 00:00
the whole State of Victoria,,30/01/1957 00:00 to 31/01/1957 00:00
the whole State of Victoria,,29/01/1957 00:00 to 30/01/1957 00:00
the whole State of Victoria,,23/01/1957 00:00 to 24/01/1957 00:00
the whole State of Victoria,,18/01/1957 00:00 to 19/01/1957 00:00
the whole State of Victoria,,13/01/1957 00:00 to 14/01/1957 00:00
the whole State of Victoria,,05/02/1955 00:00 to 06/02/1955 00:00
the whole State of Victoria,,28/01/1955 00:00 to 29/01/1955 00:00
the whole State of Victoria,,27/01/1955 00:00 to 28/01/1955 00:00
the whole State of Victoria,,26/01/1955 00:00 to 27/01/1955 00:00
the whole State of Victoria,,17/01/1955 00:00 to 18/01/1955 00:00
the whole State of Victoria,,08/01/1955 00:00 to 09/01/1955 00:00
the whole State of Victoria,,07/01/1955 00:00 to 08/01/1955 00:00
the whole State of Victoria,,15/01/1954 00:00 to 16/01/1954 00:00
the whole State of Victoria,,20/12/1953 00:00 to 21/12/1953 00:00
the whole State of Victoria,,17/03/1953 00:00 to 18/03/1953 00:00
the whole State of Victoria,,27/01/1953 00:00 to 28/01/1953 00:00
the whole State of Victoria,,16/01/1953 00:00 to 17/01/1953 00:00
the whole State of Victoria,,08/02/1952 00:00 to 09/02/1952 00:00
the whole State of Victoria,,07/02/1952 00:00 to 08/02/1952 00:00
the whole State of Victoria,,05/02/1952 00:00 to 06/02/1952 00:00
the whole State of Victoria,,03/02/1952 00:00 to 04/02/1952 00:00
the whole State of Victoria,,01/02/1952 00:00 to 02/02/1952 00:00
the whole State of Victoria,,31/01/1952 00:00 to 01/02/1952 00:00
the whole State of Victoria,,25/01/1952 00:00 to 26/01/1952 00:00
the whole State of Victoria,,24/01/1952 00:00 to 25/01/1952 00:00
the whole State of Victoria,,22/01/1952 00:00 to 23/01/1952 00:00
the whole State of Victoria,,13/02/1951 00:00 to 14/02/1951 00:00
the whole State of Victoria,,09/02/1951 00:00 to 10/02/1951 00:00
the whole State of Victoria,,08/02/1951 00:00 to 09/02/1951 00:00
the whole State of Victoria,,07/02/1951 00:00 to 08/02/1951 00:00
the whole State of Victoria,,01/02/1951 00:00 to 02/02/1951 00:00
the whole State of Victoria,,31/01/1951 00:00 to 01/02/1951 00:00
the whole State of Victoria,,29/01/1951 00:00 to 30/01/1951 00:00
the whole State of Victoria,,21/01/1949 00:00 to 22/01/1949 00:00
the whole State of Victoria,,12/02/1948 00:00 to 13/02/1948 00:00
the whole State of Victoria,,29/01/1948 00:00 to 30/01/1948 00:00
the whole State of Victoria,,27/01/1948 00:00 to 28/01/1948 00:00
the whole State of Victoria,,26/01/1948 00:00 to 27/01/1948 00:00
the whole State of Victoria,,21/02/1947 00:00 to 22/02/1947 00:00
